id,created_at,updated_at,session_id,transcript_ids,mentioned_at_timestamp,speaker_quote,speaker_context,speaker_email,problem_title,problem_statement,current_manual_process,proposed_solution,category,digitization_opportunity,confidence_score,extraction_reasoning,needs_clarification,validation_question,status,validated_by,validated_at,validation_method,validation_notes,refinement_notes,promoted_to_idea_id,promoted_at,flagged_for_review,admin_notes
03ef9d59-a972-4be0-8a9b-2826fb1e2f24,2025-11-24 04:00:17.235836,2025-11-24 04:00:17.235836,,,,"Morocco receive 20m visitors but they don't return after their first visits incurring opportunity to soustain and predict economical tourism output compared to France, Spain and Portugal who has 20% retrun rate",Tourism entrepreneur | Phone: +212612345678,test@example.com,Low tourist return rate,"Morocco receives 20m visitors but they don't return after their first visits incurring opportunity to sustain and predict economical tourism output compared to France, Spain and Portugal who has 20% return rate.",,,other,,0.85,"The message clearly identifies a tourism retention problem - Morocco has low visitor return rates compared to European competitors, representing a missed economic opportunity that could be addressed through digital solutions for tourism prediction and sustainability.",false,,promoted_to_idea,,,,,,1b03a0db-662c-4d4e-8175-ed019f6a3978,2025-11-24 04:00:17.43,false,
04763a53-fb45-4ee8-a282-9a88fefbbdb5,2025-11-24 04:05:06.31266,2025-11-24 04:05:06.31266,,,,Je pense qu'on devrait creer une application pour les etudiants de Casablanca,Phone: +212612345678,,Application pour étudiants Casablanca,Il faut créer une application dédiée aux étudiants de Casablanca.,,Créer une application mobile pour les étudiants de Casablanca.,education,Créer une application mobile pour les étudiants de Casablanca.,0.75,"Le locuteur propose clairement une solution technologique (application) ciblant un groupe spécifique (étudiants) dans une localisation précise (Casablanca), mais le problème exact à résoudre n'est pas défini.",true,شنو كتعني ب 'application pour les étudiants'؟ شنو هي المشاكل اللي كتواجه الطلاب؟,speaker_contacted,,,,,,,,false,
0a4e5543-5756-4dc5-babf-398c3b9f1d7d,2025-11-24 18:16:21.981999,2025-11-24 18:16:21.981999,,,,"Au Maroc, il y a énormément de problèmes avec le nettoyage des rues, le nettoyage des poubelles, surtout dans les villes touristiques comme Fez, et c'est vraiment, on veut trouver une solution qui pourra être digitale, surtout trouver des moyens pour que les gens volontairement prennent des bonnes actions autour de, comme je dis, les places touristiques, et on veut trouver une solution autour de, une solution digitale qui motive les gens à participer et leur donner quelque chose en échange.",,,Nettoyage des rues touristiques,"Il y a énormément de problèmes avec le nettoyage des rues et des poubelles, surtout dans les villes touristiques comme Fez.",,Trouver une solution digitale qui motive les gens à participer volontairement au nettoyage en leur donnant quelque chose en échange.,infrastructure,Trouver une solution digitale qui motive les gens à participer volontairement au nettoyage en leur donnant quelque chose en échange.,0.85,Le message identifie clairement un problème de propreté urbaine dans les zones touristiques et propose une solution digitale d'incitation pour encourager la participation citoyenne.,false,,promoted_to_idea,,,,,,81d49811-731b-41c7-9d61-43df282e3663,2025-11-24 18:16:22.034,false,
10555e2d-8d9c-4d3d-a745-6955b89c7977,2025-11-24 17:42:31.795858,2025-11-24 17:42:31.795858,,,,"Au Maroc, il y a beaucoup, beaucoup de problèmes avec le nettoyage des rues, dans un sens que il manque énormément d'infrastructures pour vraiment faire le nettoyage et on veut trouver un moyen d'une façon digitale, de trouver une façon digitale pour résoudre ce problème. Les poubelles et surtout dans les villes touristiques comme Fez où il y a beaucoup, beaucoup de problèmes avec le nettoyage.",,,Nettoyage des rues défaillant,"Il manque énormément d'infrastructures pour le nettoyage des rues au Maroc, surtout dans les villes touristiques comme Fez.",,Trouver une façon digitale pour résoudre ce problème de nettoyage.,infrastructure,Trouver une façon digitale pour résoudre ce problème de nettoyage.,0.85,"Le message identifie clairement un problème d'infrastructure de nettoyage urbain au Maroc, mentionne spécifiquement Fez, et propose une solution digitale, constituant une opportunité d'entrepreneuriat claire.",false,,promoted_to_idea,,,,,,c696d37f-d08d-48f2-a513-29fe426c087f,2025-11-24 17:42:32.047,false,
1df4351a-438c-4dad-93bf-cbfbfe04a978,2025-11-24 05:44:40.212337,2025-11-24 05:44:40.212337,,,,la la for la forêt la forêt d'Ar  forêt d'Ar  forêt d'argen  d'argenla forêt d'organe   la  la for  la forêt  la forêt d'Ar  forêt d'Ar  forêt d'Arc  forêt d'argen  d'argen la forêt d'arcane   souff  souffre  souffre  d'É  énormément  d'énormément souffre énormément   de  de  sé  sécher  sécheresse de sécheresse,,,Sécheresse forêt d'argan,La forêt d'argan souffre énormément de sécheresse.,,,agriculture,,0.75,"Le message identifie clairement un problème environnemental touchant la forêt d'argan (sécheresse), ce qui représente une opportunité de développer des solutions numériques pour le monitoring ou la gestion des ressources naturelles",false,,speaker_contacted,,,,,,,,false,
28784f5e-d24a-4f4b-ad6f-6a207c44af5b,2025-11-24 05:45:00.453593,2025-11-24 05:45:00.453593,,,,la la for la forêt la forêt d'Ar  forêt d'Ar  forêt d'argen  d'argenla forêt d'organe   la  la for  la forêt  la forêt d'Ar  forêt d'Ar  forêt d'Arc  forêt d'argen  d'argen la forêt d'arcane   souff  souffre  souffre  d'É  énormément  d'énormément souffre énormément   de  de  sé  sécher  sécheresse de sécheresse   et  et la  et la pro  et la production  la production  production  et la production et la production   est  est dev  est devenue  devenue est devenu   créer créer   inst  instable instable,,,Sécheresse forêt d'Argane,La forêt d'argane souffre énormément de sécheresse et la production est devenue instable.,,,agriculture,,0.75,"Le message identifie clairement un problème environnemental affectant la forêt d'arganiers avec un impact sur la production, ce qui représente une opportunité potentielle de numérisation pour le monitoring ou la gestion des ressources.",true,شنو كتعني ب 'la production'؟ إنتاج الأركان ولا شي حاجة أخرى؟,speaker_contacted,,,,,,,,false,
2cd7fafa-acbd-4d6f-941a-b1e8143f1963,2025-11-24 03:54:08.440655,2025-11-24 03:54:08.440655,,,,"Morocco receive 20m visitors but they don't return after their first visits incurring opportunity to soustain and predict economical tourism output compared to France, Spain and Portugal who has 20% retrun rate",Tourism entrepreneur | Phone: +212612345678,test@example.com,Low tourism return rate,"Morocco receives 20m visitors but they don't return after their first visits, missing opportunities for sustained tourism revenue compared to France, Spain and Portugal with 20% return rates.",,,other,,0.85,"Clear identification of a tourism retention problem with specific data comparing Morocco to competitor countries, indicating a business opportunity for solutions that could improve visitor return rates",false,,promoted_to_idea,,,,,,6fb5a41d-4f39-467d-8dcc-8e7dbd69146e,2025-11-24 03:54:08.637,false,
3065db43-6ada-41f5-86c1-1ba61827d431,2025-11-24 03:58:22.763191,2025-11-24 03:58:22.763191,,,,"Morocco receive 20m visitors but they don't return after their first visits incurring opportunity to soustain and predict economical tourism output compared to France, Spain and Portugal who has 20% retrun rate",Tourism entrepreneur | Phone: +212612345678,test@example.com,Low tourism return rate,"Morocco receives 20m visitors but they don't return after their first visits, missing opportunities for sustained and predictable economic tourism output compared to France, Spain and Portugal who have 20% return rate.",,,other,,0.85,"The message clearly identifies a tourism retention problem in Morocco with specific data comparison to other countries, indicating a business opportunity for improving visitor return rates",false,,promoted_to_idea,,,,,,cc2f74b0-e9a3-4182-91c5-89e66d355d5e,2025-11-24 03:58:22.928,false,
52f4843c-5591-4822-9079-2197450b9c16,2025-11-24 06:36:55.287323,2025-11-24 06:36:55.287323,,,,"Aussi, il y a des problèmes avec les femmes qui produisent l'huile d'argan dans les montagnes. Elles gagnent presque 2 ou 3 dirhams par kilo et ils ont fait cette tradition pendant des siècles et ils n'en profitent pas de tous les prix actuellement. Ils sont vraiment exploités et on veut trouver un moyen de résoudre ça à travers les technologies si on peut vraiment améliorer leurs conditions de production, trouver une façon qui est originale, qui ne perd pas la tradition et aussi améliorer leurs moyens de vie.",,,Exploitation des productrices d'argan,Les femmes qui produisent l'huile d'argan dans les montagnes gagnent seulement 2 ou 3 dirhams par kilo et sont exploitées malgré leur tradition séculaire.,,Utiliser les technologies pour améliorer leurs conditions de production tout en préservant la tradition et améliorer leurs moyens de vie.,agriculture,Utiliser les technologies pour améliorer leurs conditions de production tout en préservant la tradition et améliorer leurs moyens de vie.,0.85,Le message identifie clairement un problème économique et social (exploitation des productrices d'argan) et propose une solution technologique pour l'améliorer tout en préservant les traditions.,false,,promoted_to_idea,,,,,,e5c2f3b6-275c-40d7-9c51-cbb283d34150,2025-11-24 06:36:54.908,false,
72cbd970-196e-48bf-88f8-28680e0fc1ca,2025-11-24 05:44:34.449586,2025-11-24 05:44:34.449586,,,,la la for la forêt la forêt d'Ar  forêt d'Ar  forêt d'argen  d'argenla forêt d'organe   la  la for  la forêt  la forêt d'Ar  forêt d'Ar  forêt d'Arc  forêt d'argen  d'argen la forêt d'arcane   souff  souffre  souffre  d'É  énormément  d'énormément souffre énormément,,,Problème forêt d'argan,La forêt d'argan souffre énormément.,,,agriculture,,0.75,"Le locuteur mentionne un problème environnemental concernant la forêt d'argan qui 'souffre énormément', mais le contexte exact du problème nécessite clarification",true,شنو كتعني ب 'souffre énormément'؟ أشنو المشكل اللي كاين فالغابة ديال الأركان؟,speaker_contacted,,,,,,,,false,
